2025-09-19 07:28:21.5327 D Emitted message: systemStats
2025-09-19 07:28:22.5341 D Emitted message: systemStats
2025-09-19 07:28:23.5357 D Emitted message: systemStats
2025-09-19 07:28:24.5372 D Emitted message: systemStats
2025-09-19 07:28:25.5388 D Emitted message: systemStats
2025-09-19 07:28:26.5412 D Emitted message: systemStats
2025-09-19 07:28:27.5427 D Emitted message: systemStats
2025-09-19 07:28:28.5442 D Emitted message: systemStats
2025-09-19 07:28:29.5458 D Emitted message: systemStats
2025-09-19 07:28:30.5472 D Emitted message: systemStats
2025-09-19 07:28:31.5235 D Emitted message: ndiSources
2025-09-19 07:28:31.5488 D Emitted message: systemStats
2025-09-19 07:28:32.5505 D Emitted message: systemStats
2025-09-19 07:28:33.5521 D Emitted message: systemStats
2025-09-19 07:28:34.5537 D Emitted message: systemStats
2025-09-19 07:28:35.5552 D Emitted message: systemStats
2025-09-19 07:28:36.5567 D Emitted message: routeTargets
2025-09-19 07:28:36.5579 D Emitted message: systemStats
2025-09-19 07:28:37.5594 D Emitted message: systemStats
2025-09-19 07:28:38.5609 D Emitted message: systemStats
2025-09-19 07:28:39.5625 D Emitted message: systemStats
2025-09-19 07:28:40.5639 D Emitted message: systemStats
2025-09-19 07:28:41.5655 D Emitted message: systemStats
2025-09-19 07:28:42.5670 D Emitted message: systemStats
2025-09-19 07:28:43.5686 D Emitted message: systemStats
2025-09-19 07:28:44.5701 D Emitted message: systemStats
2025-09-19 07:28:45.5716 D Emitted message: systemStats
2025-09-19 07:28:46.5731 D Emitted message: systemStats
2025-09-19 07:28:47.5747 D Emitted message: systemStats
2025-09-19 07:28:48.5761 D Emitted message: systemStats
2025-09-19 07:28:49.5777 D Emitted message: systemStats
2025-09-19 07:28:50.5791 D Emitted message: systemStats
2025-09-19 07:28:51.5807 D Emitted message: systemStats
2025-09-19 07:28:52.5823 D Emitted message: systemStats
2025-09-19 07:28:53.5839 D Emitted message: systemStats
2025-09-19 07:28:54.5854 D Emitted message: systemStats
2025-09-19 07:28:55.5869 D Emitted message: systemStats
2025-09-19 07:28:56.5884 D Emitted message: systemStats
2025-09-19 07:28:57.5899 D Emitted message: systemStats
2025-09-19 07:28:58.5915 D Emitted message: systemStats
2025-09-19 07:28:59.5929 D Emitted message: systemStats
2025-09-19 07:29:00.5944 D Emitted message: systemStats
2025-09-19 07:29:01.5712 D Emitted message: ndiSources
2025-09-19 07:29:01.5960 D Emitted message: systemStats
2025-09-19 07:29:02.5979 D Emitted message: systemStats
2025-09-19 07:29:03.5995 D Emitted message: systemStats
2025-09-19 07:29:04.6010 D Emitted message: systemStats
2025-09-19 07:29:05.6026 D Emitted message: systemStats
2025-09-19 07:29:06.6041 D Emitted message: systemStats
2025-09-19 07:29:06.6062 D Emitted message: routeTargets
2025-09-19 07:29:07.6056 D Emitted message: systemStats
2025-09-19 07:29:08.6071 D Emitted message: systemStats
2025-09-19 07:29:09.6087 D Emitted message: systemStats
2025-09-19 07:29:10.6102 D Emitted message: systemStats
2025-09-19 07:29:11.6117 D Emitted message: systemStats
2025-09-19 07:29:12.6132 D Emitted message: systemStats
2025-09-19 07:29:13.6148 D Emitted message: systemStats
2025-09-19 07:29:14.6179 D Emitted message: systemStats
2025-09-19 07:29:15.6193 D Emitted message: systemStats
2025-09-19 07:29:16.6208 D Emitted message: systemStats
2025-09-19 07:29:17.6224 D Emitted message: systemStats
2025-09-19 07:29:18.6239 D Emitted message: systemStats
2025-09-19 07:29:19.6255 D Emitted message: systemStats
2025-09-19 07:29:20.6270 D Emitted message: systemStats
2025-09-19 07:29:21.6286 D Emitted message: systemStats
2025-09-19 07:29:22.6306 D Emitted message: systemStats
2025-09-19 07:29:23.6325 D Emitted message: systemStats
2025-09-19 07:29:24.6340 D Emitted message: systemStats
2025-09-19 07:29:25.6357 D Emitted message: systemStats
2025-09-19 07:29:26.6371 D Emitted message: systemStats
2025-09-19 07:29:27.6386 D Emitted message: systemStats
2025-09-19 07:29:28.6401 D Emitted message: systemStats
2025-09-19 07:29:29.6416 D Emitted message: systemStats
2025-09-19 07:29:30.6431 D Emitted message: systemStats
2025-09-19 07:29:31.6188 D Emitted message: ndiSources
2025-09-19 07:29:31.6447 D Emitted message: systemStats
2025-09-19 07:29:32.6465 D Emitted message: systemStats
2025-09-19 07:29:33.6481 D Emitted message: systemStats
2025-09-19 07:29:34.6497 D Emitted message: systemStats
2025-09-19 07:29:35.6513 D Emitted message: systemStats
2025-09-19 07:29:36.6529 D Emitted message: systemStats
2025-09-19 07:29:36.6543 D Emitted message: routeTargets
2025-09-19 07:29:37.6544 D Emitted message: systemStats
2025-09-19 07:29:38.6559 D Emitted message: systemStats
2025-09-19 07:29:39.6698 D Emitted message: systemStats
2025-09-19 07:29:40.6714 D Emitted message: systemStats
2025-09-19 07:29:41.6742 D Emitted message: systemStats
2025-09-19 07:29:42.6757 D Emitted message: systemStats
2025-09-19 07:29:43.6771 D Emitted message: systemStats
2025-09-19 07:29:44.6786 D Emitted message: systemStats
2025-09-19 07:29:45.6800 D Emitted message: systemStats
2025-09-19 07:29:46.6815 D Emitted message: systemStats
2025-09-19 07:29:47.6829 D Emitted message: systemStats
2025-09-19 07:29:48.6843 D Emitted message: systemStats
2025-09-19 07:29:49.6868 D Emitted message: systemStats
2025-09-19 07:29:50.6901 D Emitted message: systemStats
2025-09-19 07:29:51.6917 D Emitted message: systemStats
2025-09-19 07:29:52.6934 D Emitted message: systemStats
2025-09-19 07:29:53.6949 D Emitted message: systemStats
2025-09-19 07:29:54.6964 D Emitted message: systemStats
2025-09-19 07:29:55.6978 D Emitted message: systemStats
2025-09-19 07:29:56.6992 D Emitted message: systemStats
2025-09-19 07:29:57.7006 D Emitted message: systemStats
2025-09-19 07:29:58.7020 D Emitted message: systemStats
2025-09-19 07:29:59.7034 D Emitted message: systemStats
2025-09-19 07:30:00.7050 D Emitted message: systemStats
2025-09-19 07:30:01.6657 D Emitted message: ndiSources
2025-09-19 07:30:01.7079 D Emitted message: systemStats
2025-09-19 07:30:02.7097 D Emitted message: systemStats
2025-09-19 07:30:03.7114 D Emitted message: systemStats
2025-09-19 07:30:04.7129 D Emitted message: systemStats
2025-09-19 07:30:05.7144 D Emitted message: systemStats
2025-09-19 07:30:06.7155 D Emitted message: routeTargets
2025-09-19 07:30:06.7155 D Emitted message: systemStats
2025-09-19 07:30:07.7176 D Emitted message: systemStats
2025-09-19 07:30:08.7191 D Emitted message: systemStats
2025-09-19 07:30:09.7208 D Emitted message: systemStats
2025-09-19 07:30:10.7222 D Emitted message: systemStats
2025-09-19 07:30:11.7238 D Emitted message: systemStats
2025-09-19 07:30:12.7253 D Emitted message: systemStats
2025-09-19 07:30:13.7268 D Emitted message: systemStats
2025-09-19 07:30:14.7284 D Emitted message: systemStats
2025-09-19 07:30:15.7299 D Emitted message: systemStats
2025-09-19 07:30:16.7315 D Emitted message: systemStats
2025-09-19 07:30:17.7329 D Emitted message: systemStats
2025-09-19 07:30:18.7345 D Emitted message: systemStats
2025-09-19 07:30:19.7359 D Emitted message: systemStats
2025-09-19 07:30:20.7375 D Emitted message: systemStats
2025-09-19 07:30:21.7390 D Emitted message: systemStats
2025-09-19 07:30:22.7406 D Emitted message: systemStats
2025-09-19 07:30:23.7420 D Emitted message: systemStats
2025-09-19 07:30:24.7435 D Emitted message: systemStats
2025-09-19 07:30:25.7450 D Emitted message: systemStats
2025-09-19 07:30:26.7466 D Emitted message: systemStats
2025-09-19 07:30:27.7484 D Emitted message: systemStats
2025-09-19 07:30:28.7500 D Emitted message: systemStats
2025-09-19 07:30:29.7515 D Emitted message: systemStats
2025-09-19 07:30:30.7530 D Emitted message: systemStats
2025-09-19 07:30:31.7342 D Emitted message: ndiSources
2025-09-19 07:30:31.7546 D Emitted message: systemStats
2025-09-19 07:30:32.7564 D Emitted message: systemStats
2025-09-19 07:30:33.7579 D Emitted message: systemStats
2025-09-19 07:30:34.7596 D Emitted message: systemStats
2025-09-19 07:30:35.7610 D Emitted message: systemStats
2025-09-19 07:30:36.7625 D Emitted message: systemStats
2025-09-19 07:30:36.7625 D Emitted message: routeTargets
2025-09-19 07:30:37.7640 D Emitted message: systemStats
2025-09-19 07:30:38.7657 D Emitted message: systemStats
2025-09-19 07:30:39.7672 D Emitted message: systemStats
2025-09-19 07:30:40.7688 D Emitted message: systemStats
2025-09-19 07:30:41.7704 D Emitted message: systemStats
2025-09-19 07:30:42.7719 D Emitted message: systemStats
2025-09-19 07:30:43.7735 D Emitted message: systemStats
2025-09-19 07:30:44.7749 D Emitted message: systemStats
2025-09-19 07:30:45.7765 D Emitted message: systemStats
2025-09-19 07:30:46.7780 D Emitted message: systemStats
2025-09-19 07:30:47.7796 D Emitted message: systemStats
2025-09-19 07:30:48.7810 D Emitted message: systemStats
2025-09-19 07:30:49.7827 D Emitted message: systemStats
2025-09-19 07:30:50.7841 D Emitted message: systemStats
2025-09-19 07:30:51.7857 D Emitted message: systemStats
2025-09-19 07:30:52.7871 D Emitted message: systemStats
2025-09-19 07:30:53.7887 D Emitted message: systemStats
2025-09-19 07:30:54.7902 D Emitted message: systemStats
2025-09-19 07:30:55.7918 D Emitted message: systemStats
2025-09-19 07:30:56.7991 D Emitted message: systemStats
2025-09-19 07:30:57.8024 D Emitted message: systemStats
2025-09-19 07:30:58.8039 D Emitted message: systemStats
2025-09-19 07:30:59.8054 D Emitted message: systemStats
2025-09-19 07:31:00.8069 D Emitted message: systemStats
2025-09-19 07:31:01.7751 D Emitted message: ndiSources
2025-09-19 07:31:01.8085 D Emitted message: systemStats
2025-09-19 07:31:02.8104 D Emitted message: systemStats
2025-09-19 07:31:03.8120 D Emitted message: systemStats
